Song,Nonprog Probability,Prog Probability,True Label
07 A Louse Is Not A Home.mp3,3.56E-42,1,Prog
13 Famous Last Words.mp3,0.989735831,0.010264169,Nonprog
05. When the Water Breaks.mp3,4.66E-76,1,Prog
02 The World At Large.mp3,1,4.17E-17,Nonprog
The Flower Kings - 1997 Stardust We Are CD2 - 11 - Stardust We Are.mp3,4.51E-90,1,Prog
13 Metin Arolat - Elveda.mp3,1,4.88E-72,Nonprog
1986_Mr._Mister_Broken_Wings.mp3,0.996744838,0.003255162,Nonprog
4 Foxlight.mp3,1.93E-41,1,Prog
Disintegration-The Cure-09-The Same Deep Water as You.mp3,1,3.92E-44,Nonprog
05. Violin Concerto in E minor op.64 - I Allegro molto appassionato.mp3,1,4.74E-56,Nonprog
13. Frank Sinatra - The Girl From Ipanema.mp3,0.999992113,7.89E-06,Nonprog
01-Zarathustra.mp3,1.32E-71,1,Prog
Little_Simz_Woman.mp3,1,9.14E-84,Nonprog
04. Second Life Syndrome.mp3,4.87E-61,1,Prog
06 - Scene Four  Beyond This Life.mp3,1.05E-42,1,Prog
Steve_Hackett_The_Return_of_the_Giant_Hogweed.mp3,1.57E-10,1,Prog
MIKE OLDFIELD - Part One (Tubular Bells I).mp3,3.13E-80,1,Prog
02 In a Silent Way...It's About that Time.mp3,2.40E-52,1,Prog
13 - A Day in the Life.mp3,4.19E-08,0.999999958,Prog
Ne_Obliviscaris_And_Plague_Flowers_The_Kaleidoscope.mp3,3.88E-38,1,Prog
01 - Phaedra.mp3,1.31E-65,1,Prog
#NAME?,0.009970807,0.990029193,Prog
01 - When the Heart Rules the Mind.mp3,1.05E-06,0.999998951,Prog
01 Hortz Fur Dehn Stekehn West.mp3,1.96E-05,0.999980431,Prog
1997_The_Verve_Bittersweet_Symphony.mp3,1,9.13E-41,Nonprog
103 Moon In June.mp3,1.74E-85,1,Prog
05 - Vivaldi.mp3,1.99E-16,1,Prog
Opeth - The Moor.mp3,5.39E-61,1,Prog
17 - Cross Road Blues (take 1).mp3,1,1.30E-31,Nonprog
04 Black Rose Immortal.mp3,4.73E-125,1,Prog
1996_Alanis_Morissette_Ironic.mp3,0.999985011,1.50E-05,Nonprog
01 - Under the Pressure.mp3,1,7.72E-51,Nonprog
01. Hallogallo.mp3,2.47E-76,1,Prog
07_Summoning Of The Muse.mp3,1,1.18E-17,Nonprog
04. The Czar I. Usurper - II. Escape - III. Martyr - IV. Spiral_khaos[].mp3,3.26E-36,1,Prog
Tame_Impala_01_Let_It_Happen.mp3,1,3.61E-101,Nonprog
01 Meeting of the Spirits.mp3,9.73E-53,1,Prog
